prob_id,control_1,control_2,control_3,case_1,case_2,case_3,logFC,p_value,t,FDR
11731751_at,7.72,6.53,6.43,4.47,4.03,4.44,-2.58,0.0041526247375691236,5.890745321676737,0.04819201444615071
11718540_at,7.65,7.46,8.67,4.66,5.67,4.83,-2.873333333333333,0.004175031104583943,5.882075141622158,0.007816830424045875
11731584_a_at,11.42,11.05,11.01,9.76,8.74,9.31,-1.889999999999997,0.004240968868155597,5.856887996525215,0.045727820059055416
11720666_at,8.69,8.89,8.26,6.15,6.66,5.29,-2.5799999999999974,0.0042533084170061405,5.85222784717166,0.020693182733389954
11716156_a_at,9.69,9.7,11.33,5.09,6.75,6.1,-4.260000000000001,0.004258987944549344,5.850088488915086,0.002227145123199417
11719858_a_at,8.41,8.09,7.06,4.78,5.19,5.52,-2.6899999999999995,0.004268273888832474,5.846598196950973,0.004450208349936566
11716035_at,7.16,7.69,8.19,5.77,6.0,5.52,-1.916666666666667,0.0042809328057785605,5.841855086403358,0.001503696337682685
11718531_a_at,8.16,8.59,8.5,6.13,7.09,6.22,-1.9366666666666665,0.004348068775670741,5.816984574752023,0.008417378301422524
11718879_s_at,7.66,6.34,6.27,4.03,3.97,4.25,-2.673333333333334,0.00436487751180769,5.8108314364001545,0.004765254438091019
11722196_x_at,7.0,8.37,8.28,5.11,5.46,5.0,-2.6933333333333325,0.004370191336469834,5.808892258799745,0.008291905432989391
11719227_x_at,10.73,9.71,9.24,7.02,7.49,7.12,-2.6833333333333327,0.004387377727452927,5.802640162785887,0.01632101734684472
11722800_a_at,5.81,5.96,5.72,4.1,4.66,3.69,-1.6799999999999997,0.004397830546362379,5.7988522870907815,0.01166742925398758
11726660_a_at,6.76,6.04,5.58,3.93,3.8,4.25,-2.133333333333334,0.004424306155253495,5.789307288494486,0.03556137520521437
11716868_at,7.85,7.3,7.02,5.1,5.47,5.87,-1.9099999999999993,0.004425816751846904,5.788764800710286,0.0038666389920107404
11722018_a_at,11.11,11.45,11.93,7.09,8.99,7.37,-3.679999999999998,0.004488956901947048,5.766290759461737,0.02004609698323286
11717198_a_at,11.14,10.61,10.2,9.12,8.83,8.58,-1.8066666666666666,0.004506562037131533,5.7600934284519285,0.004472118805560803
11723255_x_at,8.09,8.26,7.72,4.58,6.11,5.26,-2.706666666666666,0.0045245189607748875,5.7538027628850426,0.01118997784781423
11727775_s_at,7.73,8.55,7.71,5.15,5.02,6.13,-2.5633333333333335,0.0045598209658710325,5.741524533034028,0.032627285336218254
11724149_a_at,9.75,7.83,8.91,5.77,5.52,5.12,-3.3600000000000003,0.004612298906845157,5.723486161323584,0.016353662607409197
11719630_a_at,11.95,11.72,12.32,8.58,10.1,9.16,-2.7166666666666686,0.00466387422589657,5.706001491150265,0.005155649674021487
11716942_a_at,9.06,8.68,9.03,7.1,7.6,6.57,-1.833333333333334,0.004670276234254859,5.703847670948785,0.0037212728873755206
11719622_at,8.44,8.34,8.46,5.97,7.02,6.78,-1.8233333333333341,0.004677802730810481,5.7013201631192425,0.005379373589576166
11715836_x_at,9.44,9.98,9.73,8.51,7.88,7.66,-1.6999999999999993,0.004707751364915235,5.691312117948751,0.0005066030707092064
11718383_a_at,10.96,10.32,10.21,8.3,8.92,7.93,-2.113333333333335,0.0047205141586030164,5.687070808459424,0.01125969840135159
11717904_a_at,9.28,8.85,9.03,6.37,7.51,7.16,-2.04,0.004757240949786038,5.674943797283071,0.002408447000667579
11716043_a_at,8.93,8.48,8.24,6.37,6.83,7.18,-1.756666666666666,0.004765465110145071,5.672243934384213,0.0029237261090892053
11725347_a_at,9.05,9.93,9.68,7.79,8.08,8.06,-1.5766666666666662,0.0047683950699001455,5.671283453434569,0.02720842602720359
11716768_a_at,4.37,5.25,4.42,3.0,2.98,3.14,-1.6400000000000001,0.004804026151588175,5.659660646574027,0.006733938964517218
11715528_a_at,10.75,10.75,9.96,8.32,8.15,8.94,-2.0166666666666675,0.004804834212044205,5.659398284221306,0.00022351700116418654
11722069_a_at,8.42,8.81,8.55,5.8,6.75,6.94,-2.0966666666666667,0.004819895651076283,5.654517983180427,0.026968669200206317
11724784_at,8.2,7.92,6.57,3.9,4.82,4.33,-3.213333333333332,0.004844433708222285,5.646606888591175,0.01464946302979812
11715132_x_at,11.0,11.52,8.86,5.04,6.08,4.58,-5.226666666666666,0.004870991977259996,5.638099604419799,3.166623150449271e-05
11717168_a_at,8.81,7.91,8.72,5.57,6.0,6.66,-2.4033333333333315,0.004903818638890933,5.627662577398301,0.003971516188380331
11715901_a_at,9.46,9.98,10.12,7.28,8.32,7.34,-2.206666666666666,0.004915659174681642,5.62391893640309,0.0005801168862302735
11716674_a_at,9.47,10.28,10.47,7.94,8.33,8.34,-1.8699999999999992,0.004979769257787887,5.60383916351859,0.007687973193105404
11718677_at,6.13,6.93,6.94,4.69,5.08,4.28,-1.9833333333333334,0.004986490012902008,5.601752517833257,0.0033138008673409534
11716351_s_at,11.2,11.35,11.74,9.77,8.66,9.55,-2.1033333333333335,0.004990391752575138,5.600542693549048,0.0009369829240296407
11718848_a_at,8.9,8.27,8.95,5.92,3.7,3.8,-4.233333333333333,0.004999392521195912,5.597756210701532,0.01353119420990617
11718721_x_at,7.32,7.54,8.06,5.37,6.24,5.67,-1.88,0.0050346580871895325,5.586897494053994,0.010428906258530993
11721601_s_at,5.42,5.53,6.53,3.96,3.65,3.77,-2.033333333333334,0.005059787716128791,5.579216433758698,0.02576651620273684
11724237_a_at,8.1,7.65,7.2,5.57,5.48,4.44,-2.4866666666666655,0.005074898356372982,5.5746202058998415,0.024810082677558506
11723432_s_at,8.34,8.89,9.33,6.82,6.21,5.48,-2.6833333333333327,0.005088708888843771,5.570434065925147,0.012663874576136104
11724095_a_at,8.59,8.3,7.74,6.37,5.84,5.13,-2.4300000000000006,0.005135639651799774,5.556312058791078,0.019076720072856292
11722321_at,6.23,5.67,5.57,4.46,3.9,4.47,-1.5466666666666669,0.00515603726789678,5.550223351641988,0.014917761395593122
11719383_x_at,10.27,10.51,10.23,8.06,7.99,6.53,-2.8100000000000005,0.005158344163967069,5.549536597444019,0.0040295564877187665
11718806_a_at,9.06,8.89,8.96,6.88,7.1,7.87,-1.6866666666666665,0.005172290587308027,5.545392791811017,0.018668656620050877
11716755_at,10.02,9.33,9.43,7.93,7.31,6.72,-2.2733333333333343,0.005190036100541751,5.540139919112784,0.002642405657773977
11718415_x_at,9.96,9.89,9.29,8.5,8.13,7.88,-1.543333333333333,0.005195056141157766,5.538657918646212,0.0028789092960480587
11729145_x_at,8.99,9.77,9.3,6.45,7.55,6.19,-2.623333333333333,0.0052289487489387415,5.5286979044062345,0.03246651397236325
11717343_a_at,11.1,11.15,10.92,9.21,9.27,8.06,-2.210000000000001,0.005235029202084721,5.526919402524468,0.001796624929492653
11726820_a_at,9.81,9.99,10.24,7.24,8.39,6.99,-2.4733333333333336,0.005287799807483835,5.511589683045438,0.03793061298176221
11718715_a_at,9.66,8.9,9.01,7.38,7.86,7.76,-1.5233333333333325,0.0054412464168391616,5.4680565185624435,0.005104733394883526
11717805_a_at,7.94,7.71,7.26,6.16,5.32,5.05,-2.126666666666666,0.0054616658847174955,5.462376815545008,0.00243266770561439
11728405_s_at,10.73,9.15,9.5,6.68,7.02,5.78,-3.3000000000000016,0.005499810449396706,5.451836118077798,0.03152944590556534
11717250_a_at,7.89,8.59,7.62,6.0,6.53,5.94,-1.876666666666666,0.005516288722402122,5.447310211606424,0.003033486917652466
11717746_a_at,10.11,10.17,11.32,5.23,7.54,6.09,-4.246666666666667,0.005542393884436163,5.440173940761801,0.005471893339361691
11722085_a_at,8.28,8.46,7.57,5.86,6.46,5.44,-2.1833333333333327,0.005563546378101964,5.434421649626794,0.017171767246046975
11716173_a_at,11.24,11.53,11.65,10.18,9.98,9.25,-1.6700000000000017,0.005590652767661635,5.427089215043405,0.0010160108954946206
11728713_at,8.13,8.84,8.01,6.66,5.86,6.57,-1.963333333333333,0.005607164159964179,5.422644065002272,0.04003537126312554
11717364_a_at,10.02,10.41,10.25,5.18,7.01,7.36,-3.71,0.005641755581991872,5.413383144614945,0.002173515815975715
11720466_a_at,7.85,9.22,9.63,5.72,6.09,5.2,-3.2300000000000013,0.005648949408522312,5.41146591261123,0.01729239898769757
11722881_at,6.66,6.93,7.78,5.06,4.14,4.95,-2.406666666666668,0.005660937309014233,5.408277632570235,0.013631999956685114
11716076_at,10.1,10.28,10.04,9.01,7.99,8.15,-1.756666666666666,0.0056618148375389855,5.408044571059033,0.0010082803267786914
11717157_a_at,10.12,10.53,9.77,8.1,8.85,8.47,-1.6666666666666643,0.005676234214047387,5.404221264588955,0.0016419794040385678
11715529_x_at,10.86,10.88,10.09,8.23,8.17,9.08,-2.116666666666669,0.005714412663804145,5.394155312117509,0.0005019980099322097
11715675_a_at,8.22,8.49,8.6,5.11,5.15,6.65,-2.8,0.00571992161660868,5.392709637278771,0.0004252754718156017
11717044_a_at,4.52,4.73,5.23,2.2,3.06,3.18,-2.013333333333334,0.005734938166539946,5.388777581597465,0.0016061855764278271
11722789_a_at,8.27,8.21,9.27,6.12,6.58,6.75,-2.1000000000000005,0.005852383463767776,5.358452625617069,0.010235903092963183
11715402_x_at,9.66,10.13,9.35,7.72,8.44,8.03,-1.6500000000000004,0.005860280790323536,5.356440234953835,0.00017565497296552642
11724680_s_at,7.66,7.25,7.4,6.04,4.86,4.89,-2.1733333333333347,0.005898382709492281,5.346777495817281,0.046369117386084964
11720927_a_at,11.46,12.28,10.88,9.39,9.43,9.11,-2.2300000000000004,0.005966447539724884,5.329704512485071,0.006518753502932887
11719073_a_at,7.81,7.2,6.46,3.8,3.87,5.0,-2.9333333333333327,0.005989191890304186,5.3240524421748345,0.011085279798987543
11726988_s_at,9.81,8.79,9.62,6.56,7.59,6.48,-2.5300000000000002,0.005989446141577012,5.323989407944231,0.023860433122325435
11715287_at,9.4,10.39,10.0,8.34,7.98,8.41,-1.6866666666666656,0.006019324790215852,5.3166045506405055,0.00010647215877715914
11721158_a_at,8.8,9.55,9.47,7.78,7.3,6.78,-1.9866666666666672,0.006041854999477069,5.311065506926802,0.01231687193324988
11724062_a_at,8.07,8.83,8.53,4.77,6.26,4.27,-3.376666666666667,0.0060918090661986985,5.298873829689755,0.028623265585495022
11715827_s_at,9.27,9.25,8.96,7.16,8.08,7.19,-1.6833333333333336,0.006112588266930982,5.293838425445691,0.0005281274369427079
11716042_x_at,6.44,5.6,5.42,3.81,3.63,4.25,-1.9233333333333338,0.006171820528752784,5.27959873092118,0.0008699220482581841
11721924_s_at,10.08,9.94,10.95,8.48,7.27,7.71,-2.503333333333332,0.0061730065432378895,5.279315314672677,0.012828741243213154
11717139_a_at,8.66,8.3,7.8,6.32,6.72,6.91,-1.6033333333333344,0.006194198680182108,5.274262315454702,0.002356537341128308
11728799_at,5.82,4.78,5.4,3.66,3.8,3.37,-1.7233333333333332,0.006247871954869286,5.261558507565457,0.03373311260150622
11720214_at,8.17,7.05,7.09,4.3,5.2,5.25,-2.5199999999999996,0.006270622069592826,5.256213995435713,0.013983401075206717
11717998_a_at,7.38,7.55,7.08,6.01,5.74,4.99,-1.756666666666665,0.006299060159058284,5.249566458818922,0.002602209352731325
11724678_a_at,9.68,9.47,9.48,6.77,4.81,6.76,-3.4300000000000006,0.006363556492825191,5.2346250204385445,0.021630222707497777
11727466_a_at,8.22,7.78,8.5,6.35,5.39,6.47,-2.0966666666666667,0.006383434744304223,5.230057202431726,0.04113542116249375
11716071_s_at,9.05,8.85,8.78,4.84,4.94,6.81,-3.3633333333333324,0.0064782352480607635,5.208509447743675,0.0007580120484043898
11716193_s_at,8.04,7.47,8.57,5.17,5.67,6.26,-2.3266666666666653,0.006511050247395248,5.201140267069766,0.0008508517940066854
11723460_a_at,9.35,8.92,8.46,6.94,7.6,6.97,-1.740000000000001,0.0065541740877177734,5.191524706999177,0.011621321025720931
11720250_a_at,9.31,8.73,8.43,7.14,7.09,7.57,-1.5566666666666658,0.006555940645473723,5.191132455640139,0.008296231737184499
11725752_x_at,8.22,7.7,7.33,5.37,3.2,3.69,-3.663333333333333,0.00656483045593545,5.189160493970524,0.03802770815802623
11718908_s_at,11.19,8.76,8.74,5.34,5.03,5.49,-4.2766666666666655,0.006576197006939526,5.1866438780864055,0.00318212764437462
11725975_at,9.41,9.02,8.43,5.12,6.79,6.18,-2.923333333333333,0.006631731917254571,5.174424032430603,0.042845582245454226
11725970_x_at,9.65,9.28,9.09,7.2,6.23,7.64,-2.3166666666666664,0.006635416817348346,5.173617632369303,0.023902460922709784
11718507_a_at,8.91,8.42,8.74,7.38,6.21,6.33,-2.049999999999999,0.006765911221426898,5.145407709364736,0.006853836698986142
11716048_at,9.15,9.91,9.8,7.83,7.48,6.53,-2.3400000000000007,0.006780291440577893,5.1423396851256635,0.000680732375019881
11722829_x_at,7.78,8.11,8.26,5.09,6.53,5.33,-2.3999999999999977,0.006817912660480287,5.134350598086693,0.028070644071621294
11716274_a_at,10.87,11.58,10.68,9.37,9.52,8.78,-1.8199999999999967,0.006853622204788396,5.126817065014823,0.001976478495374163
11715553_s_at,8.68,8.47,7.98,6.25,6.57,5.2,-2.37,0.006883532184994226,5.120543807025585,0.0006553356632914943
11717242_a_at,8.74,9.08,8.28,7.31,6.8,6.31,-1.8933333333333353,0.0069158739727412455,5.113797815954015,0.0035494422731414286
11723430_a_at,9.01,8.33,9.17,7.03,7.19,7.59,-1.5666666666666655,0.006940458057620459,5.108695652173911,0.027824441622222616
11715861_a_at,11.17,11.0,11.52,9.42,9.8,8.61,-1.9533333333333331,0.006972777096946143,5.102021620983429,0.0005189197541438665
11720648_a_at,8.04,8.51,9.22,6.7,6.64,5.91,-2.173333333333331,0.007017649500239489,5.092817562612309,0.017631487844559732
11721060_a_at,6.27,5.99,5.95,4.55,3.02,3.71,-2.31,0.007023620511494285,5.091598223508572,0.014911563543701569
11723902_at,8.93,8.3,9.11,6.06,6.45,7.26,-2.1899999999999995,0.007036872416109177,5.088896565124897,0.01670206020385866
11721634_x_at,9.49,9.13,8.6,7.51,7.72,7.06,-1.6433333333333326,0.007088511736102004,5.078427777639398,0.010089254700739065
11716733_at,8.79,9.55,10.16,7.6,7.01,7.32,-2.1900000000000004,0.00709543586933687,5.077031127878808,0.0016099415459260432
11723842_s_at,10.51,10.25,9.97,8.34,9.03,7.93,-1.8100000000000005,0.007117699835535461,5.072551557166619,0.014793709824395554
11718984_a_at,9.07,8.06,8.42,6.05,6.5,5.03,-2.656666666666667,0.007216828626477108,5.052811926059454,0.006512148774053326
11719184_a_at,7.99,8.18,7.83,5.58,6.78,5.74,-1.966666666666666,0.00723799703048342,5.048639454613628,0.009802404112856272
