gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
ADSSL1|122622,1548,1966,631,549,788,712
ADSS|159,2663,3251,2452,9161,15240,13193
AEBP1|165,35056,37993,12781,65079,108983,30640
AEBP2|121536,2208,2302,2386,2840,3142,2833
AEN|64782,742,775,388,2382,2077,1151
AES|166,25902,22375,11243,22232,52080,19638
AFAP1L1|134265,4274,4944,7595,1122,1067,751
AFAP1L2|84632,1855,2638,1347,1975,2412,1874
AFAP1|60312,6375,7200,3926,6722,6660,3690
AFARP1|246182,0,7,0,4,0,35
AFF1|4299,17142,17265,21318,8132,13262,20880
AFF2|2334,900,163,60,125,136,44
AFF3|3899,3898,914,2026,50640,7601,14144
AFF4|27125,11491,10387,12169,19429,26993,24081
AFG3L1|172,762,903,762,2720,649,846
AFG3L2|10939,5858,4869,5653,9323,7185,6540
AFMID|125061,1498,1315,903,2548,4941,6181
AFM|173,0,4,0,0,0,0
AFP|174,4,16,8,3,51,2
AFTPH|54812,3936,3767,3675,18045,10527,17683
AG2|387763,2596,2122,1615,324,498,150
AGAP11|119385,1574,1229,3511,993,240,323
AGAP1|116987,2106,2759,1346,4489,3439,4484
AGAP2|116986,403,343,116,463,357,168
AGAP3|116988,3745,5229,2250,12516,5471,2540
AGAP4|119016,368,433,396,1024,501,667
AGAP5|729092,284,403,379,756,488,880
AGAP6|414189,412,602,369,1217,630,769
AGAP7|653268,83,149,84,269,184,155
AGAP8|728404,474,580,383,1135,783,638
AGA|175,2079,994,1022,2635,2382,3035
AGBL1|123624,0,1,2,17,1,0
AGBL2|79841,21,16,14,124,55,322
AGBL3|340351,69,77,57,23,69,66
AGBL4|84871,81,83,117,203,258,227
AGBL5|60509,2841,2242,2141,3368,3105,3542
AGER|177,179,195,156,226,112,122
AGFG1|3267,13368,9607,10469,11814,7401,8825
AGFG2|3268,1835,1636,1262,3632,3567,983
AGGF1|55109,3980,3817,3169,6547,6897,5444
AGK|55750,2057,2158,1996,6487,4586,1891
AGL|178,8050,4475,6457,14654,11910,5063
AGMAT|79814,15,73,40,309,260,322
AGPAT1|10554,6595,7063,5628,7960,8627,5757
AGPAT2|10555,57755,26373,23390,2456,8158,3194
AGPAT3|56894,12383,8388,6985,11164,13439,16508
AGPAT4|56895,1169,1678,733,858,1040,354
AGPAT5|55326,1146,1492,1235,3723,4051,4628
